Nombre,Edad,Ciudad,Documento de Identidad,Fecha de Nacimiento,Teléfono,Dirección
Fernando Rodríguez Alonso,29,Valladolid,40437421V,14/07/1997,967488773,"Paseo de la Castellana, 148, 7ºB"
Fernando Álvarez Rodríguez,83,Madrid,21957737Z,03/01/1943,748784671,"Calle Real, 79, 8ºB"
Ricardo Ruiz López,26,Las Palmas,83598645N,17/12/2000,946842132,"Calle Nueva, 4, 3ºA"
Paula Sánchez González,77,Málaga,87454142K,14/05/1949,665606308,"Plaza de España, 104, 1ºD"
Andrés Muñoz Martínez,79,Vigo,72937320J,11/03/1947,985674963,"Plaza de España, 122, 3ºC"
Carmen Gutiérrez Moreno,23,Palma,46755028F,03/09/2003,666620967,"Calle de la Paz, 134, 1ºC"
Javier Martín García,23,Gijón,64121662N,07/12/2003,989846513,"Avenida de la Constitución, 135, 6ºA"
Raquel Gutiérrez Pérez,43,Sevilla,12738372X,08/07/1983,674598653,"Calle de la Paz, 31, 2ºD"
Ana Martín González,27,Alicante,88035868F,11/08/1999,910946278,"Calle Ancha, 107, 8ºD"
Carlos González Ruiz,65,Valladolid,89840029H,29/05/1961,647683297,"Calle Mayor, 84, 4ºC"
Marta Romero González,33,Las Palmas,70745449H,29/03/1993,619797832,"Avenida de la Constitución, 76, 4ºB"
Javier Ruiz Álvarez,46,Las Palmas,31705187T,15/04/1980,658486120,"Calle Real, 82, 1ºD"
Raquel Gutiérrez Pérez,85,Córdoba,63066506L,13/05/1941,673815952,"Calle del Sol, 126, 6ºC"
Andrés Gómez Martín,32,Alicante,65847432J,18/07/1994,738498368,"Avenida de la Constitución, 11, 7ºC"
Isabel Díaz Pérez,43,Alicante,23709961X,17/06/1983,736078410,"Avenida de Madrid, 100, 7ºD"
Andrés Ruiz Jiménez,60,Bilbao,98159682V,05/01/1966,743605451,"Calle Real, 112, 1ºB"
Carlos Jiménez Romero,71,Zaragoza,65623390L,19/02/1955,691055881,"Calle Real, 117, 8ºD"
Raquel García Martínez,51,Sevilla,47129342X,26/01/1975,677977978,"Avenida de la Constitución, 98, 2ºC"
Luis López Jiménez,57,Palma,58881533F,26/09/1969,943714708,"Plaza de España, 143, 4ºC"
Juan Gutiérrez Ruiz,66,Madrid,53066195N,18/02/1960,979395203,"Calle de la Paz, 75, 2ºB"
Miguel Ruiz Moreno,69,Sevilla,16583375W,25/10/1957,627590633,"Calle de la Paz, 121, 6ºD"
María López Gutiérrez,70,Sevilla,78513012S,23/12/1956,732011367,"Calle de la Paz, 133, 6ºB"
Ana García Alonso,78,Vigo,71745273C,08/06/1948,650053191,"Plaza de España, 4, 7ºA"
Javier Muñoz Gutiérrez,18,Barcelona,31590846S,19/06/2008,660121180,"Calle del Sol, 145, 5ºB"
Lucía González Martín,54,Palma,37764536F,07/01/1972,738720054,"Calle Ancha, 102, 7ºC"
Elena Moreno Moreno,70,Murcia,72121056T,24/06/1956,739794556,"Avenida de Madrid, 22, 6ºD"
Pedro Alonso Rodríguez,33,Bilbao,34092108T,03/04/1993,646387867,"Calle Mayor, 84, 6ºA"
Lucía Moreno Díaz,46,Vigo,29309023X,09/12/1980,722172584,"Plaza de España, 60, 5ºC"
Javier Hernández Ruiz,66,Sevilla,17608565J,16/01/1960,953193302,"Calle de la Paz, 123, 6ºD"
Diego Martínez Fernández,39,Sevilla,80270302A,19/12/1987,655828969,"Calle Ancha, 43, 5ºC"
Marta Gómez Díaz,33,Zaragoza,65131395G,26/08/1993,684838949,"Avenida de la Constitución, 30, 2ºC"
Luis Muñoz Gómez,57,Valladolid,20111195F,06/08/1969,739802227,"Avenida de la Constitución, 113, 2ºB"
Fernando Jiménez Fernández,56,Málaga,82395943X,13/11/1970,947896991,"Plaza de España, 78, 7ºC"
Ricardo Ruiz Alonso,31,Valencia,88565435J,15/12/1995,641023245,"Calle de la Paz, 23, 4ºA"
